#Mod_Priority,#Mod_Name,#Mod_Version
"0096","[Aoldri] Descriptive Stash Coordinates",""
"0097","[Arszi] Mutant Bleeding",""
"0098","[Arti] Campfire Regens [Haruka Update]",""
"0099","[Haruka] Upgrade Remover",""
"0100","[HarukaSai] Upgraded Sleeping Bag",""
"0102","[Maid] Upgradable Backpacks [DLTX]",""
"0103","[Raven] No Companion Friendly Fire",""
"0104","[Utjan] Crafting Info in Tooltips 1.2",""
"0105","[Utjan] Fetch Tasks Shows Your Items",""
"0106","[Utjan] Item UI Improvements",""
"0107","[Utjan] Quick Slot and Item Stack Use Priority",""
"0108","[Utjan] Show Total Uses",""
"0109","death_animations","d2023.11.17.0"
"0110","logical_flashlight_and_headlamp_v20240206_01","d2024.4.1.0"
"0111","PDA_Hacking-v1.1","d2023.12.5.0"
"0112","AutoWalk_0.2_ANOMALY_1.5.2.custom","d2023.6.29.0"
"0113","Autocomplete unofficial_DLTX",""
"0114","Bigger Ammo Boxes_DLTX",""
"0115","Bigger Surrender Chance_DLTX",""
"0116","Buffed Ash-12_DLTX",""
"0117","Buffed Cooked Food_DLTX",""
"0118","Death Animations_DLTX","d2021.7.18.0"
"0119","Drugs Increased Weight Boost_DLTX",""
"0120","Freedom is Enemy to Mercs_DLTX",""
"0121","Hardcore Death Lamp_DLTX",""
"0122","Healing_Food_CLASSIC_DLTX",""
"0123","Hunting Backpacks_DLTX",""
"0124","Mechanics Sell More Junk_DLTX","d2021.7.17.0"
"0125","Medical Items Revision_DLTX",""
"0126","Mein Kampf Reenabler_DLTX",""
"0127","More Agile Mutants_DLTX",""
"0128","More Dangerous Phantoms_DLTX",""
"0129","More drops from drugs_DLTX",""
"0130","More Price For Animal Parts_DLTX",""
"0131","mutant_jumping_antiaim_DLTX","d2021.8.10.0"
"0132","Outfit Revision_DLTX",""
"0133","P90 Popularizer_DLTX",""
"0134","Rats_are_not_enemies_DLTX","d2021.8.30.0"
"0135","Single Use Medkits_DLTX",""
"0136","Smoother_Progression_DLTX",""
"0137","Traders Sell All Tools_DLTX",""
"0138","[Firebreath] Binocular Reanimation DLTX",""
"0139","Scope Overlay_DLTX","d2024.5.13.0"
"0140","ALife_Auto_switch_DLTX","d2021.7.21.0"
"0141","ALife_Switch_Distance_DLTX","d2021.7.21.0"
"0142","new_game_export_0.3","d2023.9.24.0"
"0143","Animation_Of_Ballistic_Plates.1","d2023.11.11.0"
"0144","he_is_with_me","d2023.10.4.0"
"0145","Footsies_v2_1.5.2_DLTX","d2023.9.4.0"
"0146","Quiet_Footsteps","d2025.3.23.0"
"0147","Traders_Sell_Recipes_DLTX_v","d2024.10.19.0"
"0148","Quick_Helmet","d2024.10.22.0"
"0149","WoundsAndTreatment.2","d2024.11.13.0"
"0150","Bar_Edits_v1.0","d2024.11.13.0"
"0151","Alternative Pseudogiants","0.1.0.0"
"0152","222_Tales_from_the_Zone","d2024.11.13.0"
"0153","RESPAWN_MUTANT_COLLECTION_PART_A_2.2","2.2.0.0"
"0154","DLTX_MiniMod_Pack.57 SATIETY INCREASE","d2024.5.13.0"
"0155","HUD_Offsets_Editor.2","d2025.2.18.0"
"0156","M.R.A.A-v1.3.1","d2024.11.28.0"
"0157","MRAA JSRS patch (DLTX)","d2024.9.2.0"
"0158","Elegant Weapon Repositions","0.5.0.0"
"0159","Alternative Blind Dogs","0.1.0.0"
"0160","Alternative Boars","0.1.0.0"
"0161","Alternative Cats","0.1.0.0"
"0162","Alternative Pseudodogs and Psy-Dogs","0.2.0.0"
